Terrain Modding,Basic,gold,<nbr>,,Gold income for the terrain when owned.,
Terrain Modding,Basic ,apcost,<nbr>,,Action Point cost for moving through the terrain.,
Terrain Modding,Basic ,dead,<nbr>,,The location starts with <nbr> * d6 corpses in it.,
Terrain Modding,Basic ,fungus,<nbr>,,Fungus income for the terrain when owned.,
Terrain Modding,Basic ,gems,<nbr>,,A bitmask value that determines the gem income of the location. See the Gem Income Bitmask table. Note that you can add multiple 1 income values together to create a higher income value of a certain type of gem. Maximum income for a single gem type is 7.,
Terrain Modding,Basic ,hands,<nbr>,,Hands of Glory income for the terrain when owned.,
Terrain Modding,Basic ,herbs,<nbr>,,Herb income for the terrain when owned.,
Terrain Modding,Basic ,iron,<nbr>,,Iron income for the terrain when owned.,
Terrain Modding,Basic ,lifeforce,<nbr>,,Sets amount of lifeforce that can be drained from the square * 10. A plain has 10 and a forest 30. Negative values means square drain lifeforce with this radius (Pillar of Power has a value of -1).,
Terrain Modding,Basic ,name,name,,Name of the terrain type.,
Terrain Modding,Basic ,pop,<nbr>,,A value indicating the size of humanlike population. Farm = 5  City = 50.,
Terrain Modding,Basic ,sacr,<nbr>,,Sacrifice income for the terrain when owned.,
Terrain Modding,Basic ,spr,image.tga,,Sets the image file for the terrain square.,
Terrain Modding,Basic ,trade,<nbr>,,Trade value of the terrain when owned.,
Terrain Modding,Basic ,weed,<nbr>,,Weed income for the terrain when owned.,
Terrain Modding,Clear,clearfort,,,Clears the fort attributes of the selected terrain.,
Terrain Modding,Clear,clearspec,,,Clears the special attributes of the selected terrain.,
Terrain Modding,Special,anchored,,,Dimensionally anchored location.,
Terrain Modding,Special,barricade,,,Wooden barricade gate,
Terrain Modding,Special,batmap,<batmap nbr>,,Associates the terrain with a certain battle map. See table Battle Maps. This is usually used for fortified locations  but villages also have a battle map.,
Terrain Modding,Special,bonusrelics,<value>,,Get this number of extra relics from this location. By default the amount of relics is one less than the amount of sacrifices earned.,
Terrain Modding,Special,bramblegate,,,Bramble gate,
Terrain Modding,Special,burnable,,,The terran can be burned like forest.,
Terrain Modding,Special,cave,,,The terrain counts as a cave.,
Terrain Modding,Special,citadel,,,The terrain functions as a citadel when owned.,
Terrain Modding,Special,cityname,,,This terrain should start with a random city name.,
Terrain Modding,Special,cloudgate,,,Cloud gate,
Terrain Modding,Special,deepspawn,,,Hybrid fishermen can appear here.,
Terrain Modding,Special,desert,,,The terrain counts as a desert for the purposes of abilities like Desert Move.,
Terrain Modding,Special,desertok,,,The terrain can appear in the southern portion of the map.,
Terrain Modding,Special,earthbarricade,,,Earth barricade gate,
Terrain Modding,Special,el,,,Terrain starts as converted to the worship of El.,
Terrain Modding,Special,enchantedgate,,,The fort has an enchanted gate,
Terrain Modding,Special,farsight,,,The terrain gives increased vision range when there are units present there. Watchtowers and some citadels have this attribute.,
Terrain Modding,Special,farvis,,,Can be seen from far away.,
Terrain Modding,Special,forest,,,The terrain counts as forest for the purposes of abilities like Forest Stealth.,
Terrain Modding,Special,forestcitadel,,,Can be used as citadel by the Troll King.,
Terrain Modding,Special,goldboost,,,The terrain provides a global boost to gold income when owned.,
Terrain Modding,Special,hardfly,,,Difficult to fly here  costs 2 AP.,
Terrain Modding,Special,harvest,,,Structures with this command get double gold income during bumper harvest events. Farms have this attribute.,
Terrain Modding,Special,hoburg,,,All starting corpses here will be small size.,
Terrain Modding,Special,invisible,,,Terrain on top of the background (like the tower) is not drawn  but the grass will still be drawn. Not a useful command for modding.,
Terrain Modding,Special,invseason,,,Seasons are reversed in this terrain.,
Terrain Modding,Special,ironboost,,,The terrain provides a global boost to iron incomewhen owned.,
Terrain Modding,Special,irongate,,,The fort has an iron gate,
Terrain Modding,Special,library1,,,Library level +1.,
Terrain Modding,Special,library2,,,Library level +2.,
Terrain Modding,Special,magicwalls,,,Ethereal units cannot pass through walls at this fort,
Terrain Modding,Special,melts,,,A hint to the AI that the terrain melts after the winter. Frozen lakes and rivers have this attribute. Not a useful command for modding.,
Terrain Modding,Special,mine,,,The terrain counts as a mine.,
Terrain Modding,Special,misty,,,Mist emanates from here.,
Terrain Modding,Special,mountain,,,The terrain counts as a mountain for the purposes of abilities like Mountain Move.,
Terrain Modding,Special,nevercold,,,This square will never get cold.,
Terrain Modding,Special,nodrown,,,No one will drown in this terrain. Fishes can be on land and vice versa here. Used for frozen water tiles.,
Terrain Modding,Special,nosight,,,The terrain does not provide vision into adjacent squares when owned. Forests and swamps have this attribute.,
Terrain Modding,Special,nosnowpen,,,No income penalty from snow.,
Terrain Modding,Special,nostart,,,Players cannot start in this type of terrain. Other squares can be overwritten by a start citadel from a player.,
Terrain Modding,Special,nostdrec,,,Standard class based recruitment lists are not available in this terrain. Instead  there are other units available for recruitment specific to the terrain.,
Terrain Modding,Special,ownable,,,The terrain can be claimed for ownership if it provides income the player can use.,
Terrain Modding,Special,port,,,Ships can enter this terrain.,
Terrain Modding,Special,rare,,,The terrain is a rare special terrain. It is sometimes deployed at a random place in Elysium by the random map generator.,
Terrain Modding,Special,realport,,,Ships can be recruited here.,
Terrain Modding,Special,ritrebate ,<percent>,,All rituals cast on this location will be cheaper.,
Terrain Modding,Special,seepast,,,Far horizon (like sea).,
Terrain Modding,Special,settlement,,,Defines the terrain as a human settlement. Hamlets  villages  towns etc have this attribute.,
Terrain Modding,Special,smoke,,,Pixels with a certain pink color (245 0 255) will produce smoke. Pixels with color (235 0 255) will produce flames and smoke.,
Terrain Modding,Special,snowok,,,The terrain can appear in the northern portion of the map and can be snowy.,
Terrain Modding,Special,spreadcold,,,The terrain square spreads cold around it  turning nearby squares snowy.,
Terrain Modding,Special,tempimmune,,,The terrain will not be transformed into a wasteland when it gets too hot,
Terrain Modding,Special,temple,,,The terrain counts as a temple.,
Terrain Modding,Special,town1,,,One town point.,
Terrain Modding,Special,town2,,,Two town points.,
Terrain Modding,Special,tradeboost,,,The terrain provides a global boost to trade points when owned.,
Terrain Modding,Special,ug,,,This is an underground terrain.,
Terrain Modding,Special,unqiue,,,This terrain is unique and can only be placed once by the random map generator.,
Terrain Modding,Special,useable,,,There is a special power inherent to the terrain that can be activated by commander actions.,
Terrain Modding,Special,void,,,The terrain is part of the void. It is possible to both walk  swim and sail here.,
Terrain Modding,Special,voidret,,,The terrain is connected to the Void. Use for Pyramids and other such structures.,
Terrain Modding,Special,walls,,,The location has walls in battle and is a siegable location.,
Terrain Modding,Special,water,,,The terrain is water and cannot be passed  unless it is frozen or the monsters moving through it are amphibian or aquatic.,
Terrain Modding,Special,woodencitadel,,,Can be used as citadel by the Senator,
Terrain Modding,Special,woodengate,,,The fort has a wooden gate,
Terrain Modding,Start ,selectterr,<terrain nbr>,,Select the terrain to be modified. Select a low number to alter an existing terrain or select a number between 500 - 999 to create a new terrain.,